CALENDAR_YEAR,COUNTY,ACCOUNT_CODE_NARRATIVE,FINANCIAL_STATEMENT,FINANCIAL_STATEMENT_SEGMENT,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,
2015,Hamilton,EARLY INTERVENTION FEDERAL,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,5436.89,
2015,Hamilton,FED AID WIC PROGRAM,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,38487.22,
2015,Hamilton,FED AID ALCOHOL ADDICTION CONTROL,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - HEALTH,,138654,
2015,Hamilton,FED AID OTHER HEALTH,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - HEALTH,,19460.42,
2015,Hamilton,"FED AID, MEDICAID ASSISTANCE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,,
2015,Hamilton,"FED AID, FAMILY ASSISTANCE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,39554,
2015,Hamilton,"FED AID, SOCIAL SERVICES ADMINISTRATION",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,208412.74,
2015,Hamilton,"FED AID, FOOD STAMP PROGRAM ADMIN",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,76288,
2015,Hamilton,FLEXIBLE FUND FOR FAMILY SERVICES (FFFS),STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,309695,
2015,Hamilton,"FED AID, HOME ENERGY ASSISTANCE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,,
2015,Hamilton,TITLE IV-B FUNDS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,1918,
2015,Hamilton,"FED AID, SERVICES FOR RECIPIENTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,21296,
2015,Hamilton,FED AID OTHER SOCIAL SERVICES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,32368,
2015,Hamilton,PREPAID EXPENSES,BALANCE SHEET,CURRENT ASSETS,,,,161493,
2015,Hamilton,INTERFUND TRANSFERS,STATEMENT OF REVENUES AND OTHER SOURCES,OTHER SOURCES,OTHER SOURCES,TRANSFERS,,5565.19,
2015,Hamilton,ACCOUNTS PAYABLE,BALANCE SHEET,LIABILITIES,,,,338328.85,
2015,Hamilton,ACCRUED LIABILITIES,BALANCE SHEET,LIABILITIES,,,,155844.53,
2015,Hamilton,"ADMIN, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,SOCIAL SERVICE ADMINISTRATION,Personal Services,446418.29,
2015,Hamilton,"ADMIN, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,SOCIAL SERVICE ADMINISTRATION,Equipment and Capital Outlay,18172.4,
2015,Hamilton,"ADMIN, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,SOCIAL SERVICE ADMINISTRATION,Contractual,44967.84,
2015,Hamilton,"DAY CARE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,8902.44,
2015,Hamilton,"SERVICES FOR RECIPIENTS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,131774.04,
2015,Hamilton,"MEDICAL ASSISTANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,MEDICAID,Contractual,146.42,
2015,Hamilton,"MEDICAL ASSISTANCE-MMIS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,MEDICAID,Contractual,600732,
2015,Hamilton,"FAMILY ASSISTANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,40213.26,
2015,Hamilton,"CHILD CARE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,NON-MEDICAID MEDICAL ASSISTANCE,Contractual,42754.12,
2015,Hamilton,"SAFETY NET, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,28603.88,
2015,Hamilton,"HOME ENERGY ASSISTANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,12624.98,
2015,Hamilton,"EMERGENCY AID FOR ADULTS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,1372,
2015,Hamilton,"JOB TRAIN ADMIN, PER SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,EMPLOYMENT SERVICES,Personal Services,8849.22,
2015,Hamilton,"JOB TRAIN ADMIN, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,EMPLOYMENT SERVICES,Contractual,7008.41,
2015,Hamilton,"JOB TRAIN ADMIN, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,2430.98,
2015,Hamilton,DUE TO OTHER FUNDS,BALANCE SHEET,LIABILITIES,,,,8535.81,
2015,Hamilton,"OTHER ECONOMIC OPP PRO, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,MISCELLANEOUS SOCIAL SERVICES,Contractual,281138.79,
2015,Hamilton,"PUBLICITY, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,ECONOMIC DEVELOPMENT,PROMOTION,Contractual,207161.77,
2015,Hamilton,"VETERANS SERVICE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,CONSTITUENT SERVICES,Contractual,13000,
2015,Hamilton,DUE TO SCHOOL DISTRICTS,BALANCE SHEET,LIABILITIES,,,,656463.92,
2015,Hamilton,"CONSUMER AFFAIRS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,CONSTITUENT SERVICES,Personal Services,13942.98,
2015,Hamilton,"CONSUMER AFFAIRS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,CONSTITUENT SERVICES,Contractual,1536.47,
2015,Hamilton,"DUE TO VILLAGE, DELINQUENT TAXES",BALANCE SHEET,LIABILITIES,,,,32829.42,
2015,Hamilton,OVERPAYMENTS  & CLEARING ACCOUNT,BALANCE SHEET,LIABILITIES,,,,180109,
2015,Hamilton,DEFERRED REVENUES,BALANCE SHEET,DEFERRED REVENUES,,,,160,
2015,Hamilton,DEFERRED TAX REVENUES,BALANCE SHEET,DEFERRED REVENUES,,,,366866.35,
2015,Hamilton,"COUNCIL ON THE ARTS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,CULTURE AND RECREATION,CULTURAL SERVICES,Contractual,6500,
2015,Hamilton,"YOUTH PROG, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,CULTURE AND RECREATION,YOUTH RECREATION,Contractual,2493.19,
2015,Hamilton,"LIBRARY, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,CULTURE AND RECREATION,LIBRARY,Contractual,11500,
2015,Hamilton,"HISTORIAN, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,CULTURE AND RECREATION,CULTURAL SERVICES,Personal Services,10000,
2015,Hamilton,"HISTORIAN, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,CULTURE AND RECREATION,CULTURAL SERVICES,Contractual,3560.16,
2015,Hamilton,"PLANNING, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ZONING AND PLANNING,Personal Services,74518.84,
2015,Hamilton,"PLANNING, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ZONING AND PLANNING,Contractual,18480.67,
2015,Hamilton,FUND EQUITY-BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,5426793.47,
2015,Hamilton,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,5426793.47,
2015,Hamilton,FUND EQUITY-END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,5374969.32,
2015,Hamilton,Not in Spendable Form,BALANCE SHEET,EQUITY - NONSPENDABLE,,,,161493,
2015,Hamilton,"REFUSE & GARBAGE, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,REFUSE AND GARBAGE,Personal Services,13600.63,
2015,Hamilton,"REFUSE & GARBAGE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,REFUSE AND GARBAGE,Contractual,80898.78,
2015,Hamilton,"LANDFILL CLOS-POST CLOS,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,LANDFILL CLOSURES,Personal Services,77278.67,
2015,Hamilton,"LANDFILL CLOS-POST CLOS,CONTR EXP",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SANITATION,LANDFILL CLOSURES,Contractual,247508.89,
2015,Hamilton,"SOURCE SUPPLY PWR & PUMP, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,UTILITIES,WATER,Contractual,5273.8,
2015,Hamilton,"FISH AND GAME, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,NATURAL RESOURCES,Contractual,11110.97,
2015,Hamilton,"FORESTRY, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,NATURAL RESOURCES,Contractual,106074,
2015,Hamilton,"AGRICULTURE AND LIVESTOCK, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,NATURAL RESOURCES,Contractual,44450,
2015,Hamilton,CAPITAL RESERVE,BALANCE SHEET,EQUITY - RESERVED,,,,126014.66,
2015,Hamilton,STATE RETIREMENT SYSTEM,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,RETIREMENT - STATE/LOCAL,Employee Benefits,628637.58,
2015,Hamilton,"SOCIAL SECURITY, EMPLOYER CONT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,SOCIAL SECURITY,Employee Benefits,292229.87,
2015,Hamilton,"WORKER'S COMPENSATION, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,WORKER'S COMPENSATION,Employee Benefits,55284.17,
2015,Hamilton,"UNEMPLOYMENT INSURANCE, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNEMPLOYMENT INSURANCE,Employee Benefits,5389.12,
2015,Hamilton,"HOSPITAL & MEDICAL (DENTAL) INS, EMPL BNFT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,MEDICAL INSURANCE,Employee Benefits,1209421.8,
2015,Hamilton,Assigned Appropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,1203000,
2015,Hamilton,Assigned Unappropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,132957.38,
2015,Hamilton,Unassigned Fund Balance,BALANCE SHEET,EQUITY - UNASSIGNED,,,,3751504.28,
2015,Hamilton,"TRANSFERS, OTHER FUNDS",STATEMENT OF EXPENDITURES AND OTHER USES,OTHER USES,OTHER USES,TRANSFERS,Interfund Transfer,864381.44,
2015,Hamilton,CASH,BALANCE SHEET,CURRENT ASSETS,,,,46768.49,
2015,Hamilton,COMMUNITY DEVELOPMENT INCOME,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,ECONOMIC DEVELOPMENT FEES,,,
2015,Hamilton,STATE & FEDERAL RECEIVABLES,BALANCE SHEET,CURRENT ASSETS,,,,38347.81,
2015,Hamilton,"FED AID, COMMUNITY DEVELOPMENT ACT",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - ECONOMIC DEVELOPMENT,,163918,
2015,Hamilton,ACCOUNTS PAYABLE,BALANCE SHEET,LIABILITIES,,,,10170,
2015,Hamilton,DUE TO OTHER FUNDS,BALANCE SHEET,LIABILITIES,,,,50000,
2015,Hamilton,DUE TO OTHER GOVERNMENTS,BALANCE SHEET,LIABILITIES,,,,13.68,
2015,Hamilton,OTHER LIABILITIES,BALANCE SHEET,LIABILITIES,,,,0.03,
2015,Hamilton,FUND EQUITY-BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,70264.59,
2015,Hamilton,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,70264.59,
2015,Hamilton,FUND EQUITY-END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,24932.59,
2015,Hamilton,"REHAB LOANS & GRANT, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,ECONOMIC DEVELOPMENT,DEVELOPMENT INFRASTRUCTURE,Contractual,,
2015,Hamilton,"ADMINISTRATION, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,ECONOMIC DEVELOPMENT,ECONOMIC DEVELOPMENT ADMINISTRATION,Contractual,209250,
2015,Hamilton,Assigned Unappropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,24932.59,
2015,Hamilton,FUND EQUITY - BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,,
2015,Hamilton,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,,
2015,Hamilton,FUND EQUITY - END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,,
2015,Hamilton,REAL PROPERTY TAXES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,REAL PROPERTY TAXES AND ASSESSMENTS,REAL PROPERTY TAXES,,3223240,
2015,Hamilton,CASH,BALANCE SHEET,CURRENT ASSETS,,,,440251.37,
2015,Hamilton,CASH IN TIME DEPOSITS,BALANCE SHEET,CURRENT ASSETS,,,,374208.26,
2015,Hamilton,"TRANSPORTATION SERVICES, OTHER GOVTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,TRANSPORTATION CHARGES,,58223.7,
2015,Hamilton,"SNOW REMOVAL SERVICES, OTHER GOVTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,TRANSPORTATION CHARGES,,593722.94,
2015,Hamilton,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,750.15,
2015,Hamilton,"SALES, OTHER",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,8,
2015,Hamilton,"ST AID, CONSOLIDATED HIGHWAY AID",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - TRANSPORTATION,,602881.08,
2015,Hamilton,STATE & FEDERAL RECEIVABLES,BALANCE SHEET,CURRENT ASSETS,,,,193127.64,
2015,Hamilton,DUE FROM OTHER GOVERNMENTS,BALANCE SHEET,CURRENT ASSETS,,,,14256.86,
2015,Hamilton,PREPAID EXPENSES,BALANCE SHEET,CURRENT ASSETS,,,,48865,
2015,Hamilton,"STREET ADMIN, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Personal Services,205660.67,
2015,Hamilton,"STREET ADMIN, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,15667.07,
2015,Hamilton,"ENGINEERING, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,2495,
2015,Hamilton,INTERFUND TRANSFERS,STATEMENT OF REVENUES AND OTHER SOURCES,OTHER SOURCES,OTHER SOURCES,TRANSFERS,,55914.32,
2015,Hamilton,"MAINT OF STREETS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Personal Services,952186.92,
2015,Hamilton,"MAINT OF STREETS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,572967.15,
2015,Hamilton,"PERM IMPROVE HIGHWAY, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Equipment and Capital Outlay,115263,
2015,Hamilton,"PERM IMPROVE HIGHWAY, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,487618.09,
2015,Hamilton,"MAINT OF BRIDGES, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Equipment and Capital Outlay,62106.94,
2015,Hamilton,"SNOW REMOVAL, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,332644.31,
2015,Hamilton,"SNOW REMOVAL STATE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,710515.27,
2015,Hamilton,ACCOUNTS PAYABLE,BALANCE SHEET,LIABILITIES,,,,216937.35,
2015,Hamilton,ACCRUED LIABILITIES,BALANCE SHEET,LIABILITIES,,,,42855.49,
2015,Hamilton,DUE TO OTHER FUNDS,BALANCE SHEET,LIABILITIES,,,,14813.39,
2015,Hamilton,FUND EQUITY - BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,295016.56,
2015,Hamilton,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,295016.56,
2015,Hamilton,FUND EQUITY - END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,796105,
2015,Hamilton,Not in Spendable Form,BALANCE SHEET,EQUITY - NONSPENDABLE,,,,48865,
2015,Hamilton,"STATE RETIREMENT, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,RETIREMENT - STATE/LOCAL,Employee Benefits,196794.5,
2015,Hamilton,"SOCIAL SECURITY , EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,SOCIAL SECURITY,Employee Benefits,87263.16,
2015,Hamilton,"WORKER'S COMPENSATION, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,WORKER'S COMPENSATION,Employee Benefits,49300,
2015,Hamilton,"UNEMPLOYMENT INSURANCE, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNEMPLOYMENT INSURANCE,Employee Benefits,10976.58,
2015,Hamilton,"HOSPITAL & MEDICAL (DENTAL) INS, EMPL BNFT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,MEDICAL INSURANCE,Employee Benefits,226630,
2015,Hamilton,Assigned Appropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,50000,
2015,Hamilton,Assigned Unappropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,697237.9,
2015,Hamilton,Unassigned Fund Balance,BALANCE SHEET,EQUITY - UNASSIGNED,,,,,
2015,Hamilton,"TRANSFERS, OTHER FUNDS",STATEMENT OF EXPENDITURES AND OTHER USES,OTHER USES,OTHER USES,TRANSFERS,Interfund Transfer,5565.19,
2015,Hamilton,REAL PROPERTY TAXES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,REAL PROPERTY TAXES AND ASSESSMENTS,REAL PROPERTY TAXES,,1020839,
2015,Hamilton,CASH,BALANCE SHEET,CURRENT ASSETS,,,,75606.41,
2015,Hamilton,CASH IN TIME DEPOSITS,BALANCE SHEET,CURRENT ASSETS,,,,611113.18,
2015,Hamilton,CASH SPECIAL RESERVES,BALANCE SHEET,CURRENT ASSETS,,,,10260.13,
2015,Hamilton,"TRANSPORTATION SERVICES, OTHER GOVTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,TRANSPORTATION CHARGES,,1167.75,
2015,Hamilton,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,444.82,
2015,Hamilton,RENTAL OF EQUIPMENT,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,RENTAL OF PROPERTY,,233645.2,
2015,Hamilton,SALES OF SCRAP & EXCESS MATERIALS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,5000,
2015,Hamilton,"SALES, OTHER",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,277021.47,
2015,Hamilton,SALES OF EQUIPMENT,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,12975,
2015,Hamilton,REFUNDS OF PRIOR YEAR'S EXPENDITURES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,49.88,
2015,Hamilton,INTERFUND REVENUES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,74221.44,
2015,Hamilton,ACCOUNTS RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,8975,
2015,Hamilton,DUE FROM OTHER FUNDS,BALANCE SHEET,CURRENT ASSETS,,,,17784.01,
2015,Hamilton,DUE FROM OTHER GOVERNMENTS,BALANCE SHEET,CURRENT ASSETS,,,,57037.6,
2015,Hamilton,PREPAID EXPENSES,BALANCE SHEET,CURRENT ASSETS,,,,7889,
2015,Hamilton,INTERFUND TRANSFERS,STATEMENT OF REVENUES AND OTHER SOURCES,OTHER SOURCES,OTHER SOURCES,TRANSFERS,,11439.12,
2015,Hamilton,"MACHINERY, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,TRANSPORTATION FACILITIES,Personal Services,180354.69,
2015,Hamilton,"MACHINERY, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,TRANSPORTATION FACILITIES,Equipment and Capital Outlay,222019.98,
2015,Hamilton,"MACHINERY, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,TRANSPORTATION FACILITIES,Contractual,881665.14,
2015,Hamilton,ACCOUNTS PAYABLE,BALANCE SHEET,LIABILITIES,,,,26177.44,
2015,Hamilton,ACCRUED LIABILITIES,BALANCE SHEET,LIABILITIES,,,,6728.34,
2015,Hamilton,FUND EQUITY - BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,623335.1,
2015,Hamilton,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,623335.1,
2015,Hamilton,FUND EQUITY - END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,755759.55,
2015,Hamilton,Not in Spendable Form,BALANCE SHEET,EQUITY - NONSPENDABLE,,,,7889,
2015,Hamilton,CAPITAL RESERVE,BALANCE SHEET,EQUITY - RESERVED,,,,10260.13,
2015,Hamilton,"STATE RETIREMENT, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,RETIREMENT - STATE/LOCAL,Employee Benefits,31770.5,
2015,Hamilton,"SOCIAL SECURITY, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,SOCIAL SECURITY,Employee Benefits,13673.92,
2015,Hamilton,"WORKER'S COMPENSATION, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,WORKER'S COMPENSATION,Employee Benefits,30000,
2015,Hamilton,"HOSPITAL & MEDICAL (DENTAL) INS, EMPL BNFT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,MEDICAL INSURANCE,Employee Benefits,144895,
2015,Hamilton,Assigned Appropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,100000,
2015,Hamilton,Assigned Unappropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,637610.42,
2015,Hamilton,CASH,BALANCE SHEET,CURRENT ASSETS,,,,1510797.86,
2015,Hamilton,"SHARE OF JOINT ACTIVITY, OTHER GOVTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,MISCELLANEOUS INTERGOVERNMENTAL CHARGES,,37586.77,
2015,Hamilton,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,263.27,
2015,Hamilton,"ST AID, OTHER TRANSPORTATION",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - TRANSPORTATION,,32864.8,
2015,Hamilton,INTERFUND TRANSFERS,STATEMENT OF REVENUES AND OTHER SOURCES,OTHER SOURCES,OTHER SOURCES,TRANSFERS,,797028,
